,city,temperature,cloudiness,country,date,humidity,longitude,latitude,temp_max,wind_speed
67,Providencia,62.33,40.0,CO,11/09/2019,76.0,-77.6,1.24,66.2,2.17
68,Bredasdorp,63.52,100.0,ZA,11/09/2019,87.0,20.04,-34.53,64.99,11.41
69,Darovskoy,26.17,100.0,RU,11/09/2019,63.0,47.96,58.77,26.17,6.96
70,Firozabad,68.52,0.0,IN,11/09/2019,41.0,78.4,27.15,68.52,6.53
71,Payson,59.4,1.0,US,11/09/2019,30.0,-111.73,40.04,62.6,3.36
72,Kodiak,61.77,1.0,US,11/09/2019,38.0,-94.76,39.95,64.99,6.93
73,Kurdzhinovo,47.26,0.0,RU,11/09/2019,33.0,40.96,43.99,47.26,5.21
74,Talaya,1.4,20.0,RU,11/09/2019,84.0,84.89,55.79,1.4,2.24
75,Albany,30.99,40.0,US,11/09/2019,34.0,-73.75,42.65,36.0,8.05
76,Kopashnovo,54.0,86.0,UA,11/09/2019,77.0,23.48,48.22,54.0,3.36
77,Laguna,89.6,75.0,BZ,11/09/2019,59.0,-88.94,16.17,89.6,6.93
78,Hasaki,50.85,20.0,JP,11/09/2019,76.0,140.83,35.73,51.8,8.05
79,Narrabri,68.76,0.0,AU,11/09/2019,30.0,149.78,-30.33,69.8,12.75
80,Eyl,78.91,0.0,SO,11/09/2019,77.0,49.82,7.98,78.91,17.94
81,Tual,82.62,100.0,ID,11/09/2019,73.0,132.75,-5.67,82.62,2.39
82,Castro,53.6,100.0,CL,11/09/2019,87.0,-73.76,-42.48,53.6,5.82
83,Avera,44.37,1.0,US,11/09/2019,65.0,-82.53,33.19,46.99,1.72
84,Busselton,67.95,51.0,AU,11/09/2019,60.0,115.35,-33.64,70.0,9.62
85,Strezhevoy,-0.41,100.0,RU,11/09/2019,84.0,77.6,60.73,-0.41,4.47
86,Nicoya,78.55,75.0,CR,11/09/2019,69.0,-85.45,10.15,82.4,17.22
87,Khatanga,-1.72,100.0,RU,11/09/2019,96.0,102.47,71.98,-1.72,15.9
88,Lorengau,82.29,100.0,PG,11/09/2019,80.0,147.27,-2.02,82.29,18.81
89,Jamestown,65.61,0.0,AU,11/09/2019,30.0,138.6,-33.21,65.61,4.09
90,Mahebourg,69.22,20.0,MU,11/09/2019,94.0,57.7,-20.41,70.0,5.82
91,Severo-Kurilsk,31.14,85.0,RU,11/09/2019,89.0,156.12,50.68,31.14,27.58
92,Dickinson,42.94,90.0,US,11/09/2019,70.0,-102.79,46.88,44.6,20.8
93,Cabedelo,77.0,20.0,BR,11/09/2019,83.0,-34.84,-6.97,77.0,8.05
