,city,temperature,cloudiness,country,date,humidity,longitude,latitude,temp_max,wind_speed
288,Kudahuvadhoo,81.95,42.0,MV,11/09/2019,79.0,72.89,2.67,81.95,13.69
289,Sisimiut,24.46,10.0,GL,11/09/2019,50.0,-53.67,66.94,24.46,14.83
290,Pitimbu,77.0,20.0,BR,11/09/2019,83.0,-34.81,-7.47,77.0,8.05
291,Leh,14.58,0.0,IN,11/09/2019,30.0,77.58,34.16,14.58,1.86
292,Kloulklubed,75.2,90.0,PW,11/09/2019,94.0,134.26,7.04,75.2,15.46
293,Swan Hill,63.88,3.0,AU,11/09/2019,47.0,143.56,-35.34,63.88,10.56
294,Mpika,67.84,65.0,ZM,11/09/2019,58.0,31.4,-11.84,67.84,8.25
295,Namibe,76.69,0.0,AO,11/09/2019,76.0,12.15,-15.19,76.69,7.54
296,Abu Dhabi,77.0,6.0,AE,11/09/2019,65.0,54.37,24.47,77.0,3.36
297,Grand Gaube,68.99,20.0,MU,11/09/2019,94.0,57.66,-20.01,70.0,5.82
298,Ende,81.66,8.0,ID,11/09/2019,75.0,121.65,-8.84,81.66,3.29
299,Erzurum,23.0,0.0,TR,11/09/2019,79.0,41.27,39.91,23.0,1.12
300,Lavrentiya,34.7,100.0,RU,11/09/2019,97.0,-170.99,65.58,34.7,5.99
301,Egvekinot,15.6,0.0,RU,11/09/2019,84.0,-179.17,66.32,15.6,3.69
302,Priiskovyy,29.01,100.0,RU,11/09/2019,98.0,116.63,51.93,29.01,5.68
303,Chute-aux-Outardes,27.1,90.0,CA,11/09/2019,86.0,-68.38,49.12,28.0,20.8
304,Boyabat,50.85,0.0,TR,11/09/2019,53.0,34.77,41.47,50.85,0.38
305,Benguela,78.15,76.0,AO,11/09/2019,86.0,13.4,-12.58,78.15,3.44
306,Kachiry,22.03,100.0,KZ,11/09/2019,58.0,76.1,53.07,22.03,13.65
307,Havoysund,19.4,0.0,NO,11/09/2019,85.0,24.66,71.0,19.4,11.41
308,Betare Oya,68.76,24.0,CM,11/09/2019,74.0,14.08,5.6,68.76,2.98
309,Peniche,56.32,93.0,PT,11/09/2019,82.0,-9.38,39.36,59.0,9.17
310,Bonthe,79.74,11.0,SL,11/09/2019,81.0,-12.5,7.53,79.74,4.5
311,San Policarpo,81.48,1.0,PH,11/09/2019,73.0,125.51,12.18,81.48,5.17
312,Aviles,49.57,100.0,ES,11/09/2019,81.0,-5.92,43.55,52.0,20.8
313,Kununurra,86.0,87.0,AU,11/09/2019,62.0,128.74,-15.77,86.0,3.36
314,Vila Franca do Campo,60.8,20.0,PT,11/09/2019,82.0,-25.43,37.72,60.8,5.82
315,Palaikastron,73.0,49.0,GR,11/09/2019,74.0,26.25,35.2,73.0,4.0
316,Victoria,76.66,75.0,BN,11/09/2019,83.0,115.24,5.28,78.8,2.24
317,Mamakan,15.89,100.0,RU,11/09/2019,89.0,114.02,57.82,15.89,10.04
318,Aksha,30.07,97.0,RU,11/09/2019,72.0,113.29,50.28,30.07,11.48
319,Tres Palos,86.0,5.0,MX,11/09/2019,74.0,-99.78,16.83,86.0,8.05
320,Ottobrunn,30.7,0.0,DE,11/09/2019,100.0,11.67,48.06,36.0,2.26
321,Baft,42.21,31.0,IR,11/09/2019,61.0,56.61,29.23,42.21,2.26
322,Lompoc,70.52,1.0,US,11/09/2019,72.0,-120.46,34.64,77.0,12.75
323,Naryan-Mar,1.44,0.0,RU,11/09/2019,96.0,53.09,67.67,1.44,7.61
324,Borogontsy,-17.85,0.0,RU,11/09/2019,94.0,131.17,62.67,-17.85,5.14
325,Kokorevka,47.82,96.0,RU,11/09/2019,95.0,34.27,52.59,47.82,9.89
326,Warri,77.88,99.0,NG,11/09/2019,91.0,5.75,5.52,77.88,1.97
327,Pevek,5.81,0.0,RU,11/09/2019,75.0,170.27,69.7,5.81,3.65
328,Baykit,-13.04,100.0,RU,11/09/2019,91.0,96.39,61.68,-13.04,6.91
329,Manaure,84.2,90.0,CO,11/09/2019,79.0,-72.45,11.78,84.2,8.05
330,Mana,79.99,0.0,NG,11/09/2019,23.0,5.27,13.03,79.99,5.5
331,Paso de Carrasco,63.95,0.0,UY,11/09/2019,68.0,-56.05,-34.86,64.99,13.87
332,Saint Anthony,53.35,1.0,US,11/09/2019,30.0,-111.68,43.97,55.0,3.36
333,Houma,43.93,0.0,CN,11/09/2019,56.0,111.36,35.63,43.93,5.46
334,Tremedal,70.39,3.0,BR,11/09/2019,61.0,-41.41,-14.98,70.39,5.1
335,Geraldton,19.4,90.0,CA,11/09/2019,85.0,-86.95,49.72,19.4,4.7
336,Nantucket,36.59,1.0,US,11/09/2019,59.0,-70.1,41.28,37.99,5.82
337,Vorukh,34.52,0.0,KG,11/09/2019,50.0,70.57,39.85,34.52,2.57
338,Kajaani,26.6,90.0,FI,11/09/2019,92.0,27.73,64.22,26.6,9.17
339,Agua Branca,82.6,47.0,BR,11/09/2019,48.0,-42.63,-5.89,82.6,2.93
340,Ketchikan,50.94,90.0,US,11/09/2019,93.0,-131.65,55.34,51.8,21.92
341,Xuddur,72.84,100.0,SO,11/09/2019,90.0,43.89,4.12,72.84,10.09
342,Mangrol,68.63,0.0,IN,11/09/2019,56.0,76.51,25.33,68.63,6.73
343,Pyaozerskiy,27.82,100.0,RU,11/09/2019,94.0,31.17,65.83,27.82,16.33
344,Coron,43.86,59.0,FR,11/09/2019,93.0,-0.65,47.13,44.6,8.05
345,Liwale,70.65,83.0,TZ,11/09/2019,92.0,37.92,-9.8,70.65,2.73
346,Kalmunai,79.36,99.0,LK,11/09/2019,83.0,81.82,7.42,79.36,7.2
347,Taloqan,36.16,0.0,AF,11/09/2019,78.0,69.54,36.74,36.16,0.38
348,Ranong,77.0,75.0,TH,11/09/2019,100.0,98.62,9.96,77.0,9.48
349,Sangamner,64.89,0.0,IN,11/09/2019,81.0,74.2,19.57,64.89,1.59
350,Akdepe,37.38,0.0,TM,11/09/2019,48.0,59.39,42.05,39.2,4.7
351,Bolnisi,46.4,0.0,GE,11/09/2019,70.0,44.54,41.45,46.4,1.12
352,Lagoa,58.68,75.0,PT,11/09/2019,93.0,-8.45,37.14,59.0,10.29
353,Saldanha,41.76,100.0,PT,11/09/2019,85.0,-6.55,41.42,41.76,10.2
354,Seybaplaya,78.8,40.0,MX,11/09/2019,83.0,-90.67,19.65,78.8,11.41
355,Penzance,48.69,0.0,GB,11/09/2019,76.0,-5.53,50.12,50.0,33.33
356,Alpena,35.26,90.0,US,11/09/2019,74.0,-83.43,45.06,37.4,8.05
357,Paragominas,78.98,64.0,BR,11/09/2019,71.0,-47.35,-3.0,78.98,4.27
358,Hamilton,37.8,75.0,CA,11/09/2019,64.0,-79.87,43.26,39.99,14.99
359,Port Hardy,50.0,90.0,CA,11/09/2019,93.0,-127.42,50.7,50.0,4.7
360,Nemuro,40.08,5.0,JP,11/09/2019,57.0,145.57,43.32,40.08,5.84
361,Ahipara,75.0,100.0,NZ,11/09/2019,100.0,173.16,-35.17,75.0,20.22
362,Praya,80.6,20.0,ID,11/09/2019,78.0,116.27,-8.71,80.6,2.24
363,Ulaangom,30.72,77.0,MN,11/09/2019,77.0,92.07,49.98,30.72,4.12
364,San Lazaro,86.0,20.0,BZ,11/09/2019,79.0,-88.66,18.04,86.0,1.54
365,Vao,42.13,100.0,EE,11/09/2019,98.0,26.19,59.1,42.13,6.42
366,Quelimane,80.6,40.0,MZ,11/09/2019,83.0,36.89,-17.88,80.6,6.93
367,Vostok,21.42,0.0,RU,11/09/2019,63.0,135.83,46.45,21.42,5.28
368,Osakarovka,19.89,100.0,KZ,11/09/2019,94.0,72.58,50.56,19.89,20.78
369,Taltal,55.0,64.0,CL,11/09/2019,88.0,-70.49,-25.41,55.0,2.98
370,Narsaq,44.6,100.0,GL,11/09/2019,39.0,-46.05,60.91,44.6,39.15
371,Taquaritinga do Norte,68.56,81.0,BR,11/09/2019,88.0,-36.04,-7.9,68.56,6.73
372,Cherskiy,-0.78,0.0,RU,11/09/2019,88.0,161.3,68.75,-0.78,1.12
373,Tawang,34.88,100.0,BT,11/09/2019,86.0,91.87,27.59,34.88,3.38
374,Tadine,81.81,81.0,NC,11/09/2019,52.0,167.88,-21.55,81.81,3.33
375,Bandundu,73.83,83.0,CD,11/09/2019,94.0,17.38,-3.32,73.83,3.13
376,Prince George,23.0,90.0,CA,11/09/2019,85.0,-122.75,53.92,23.0,11.41
377,Kahta,57.2,4.0,TR,11/09/2019,37.0,38.62,37.78,57.2,6.93
378,Mamallapuram,80.4,99.0,IN,11/09/2019,94.0,80.17,12.63,81.0,3.0
379,Bridlington,40.37,41.0,GB,11/09/2019,80.0,-0.19,54.08,44.01,5.82
380,Oranjemund,58.55,31.0,ZA,11/09/2019,93.0,16.43,-28.55,58.55,3.71
381,Okhotsk,8.04,23.0,RU,11/09/2019,72.0,143.24,59.36,8.04,18.72
382,Galveston,40.93,1.0,US,11/09/2019,60.0,-86.19,40.58,44.6,10.29
383,Bud,20.32,0.0,NO,11/09/2019,68.0,6.91,62.91,28.4,9.17
384,Grand-Lahou,82.36,0.0,CI,11/09/2019,77.0,-5.0,5.24,82.36,10.8
385,Yerofey Pavlovich,10.45,100.0,RU,11/09/2019,93.0,121.97,53.97,10.45,4.59
386,Russkaya Polyana,17.76,64.0,RU,11/09/2019,68.0,73.88,53.78,17.76,8.55
387,Bogande,79.25,79.0,BF,11/09/2019,25.0,-0.14,12.97,79.25,2.44
388,Tecoanapa,86.0,5.0,MX,11/09/2019,74.0,-99.26,16.99,86.0,8.05
389,Artigas,66.88,100.0,BR,11/09/2019,91.0,-56.46,-30.4,66.88,11.01
390,Magsaysay,78.8,20.0,PH,11/09/2019,88.0,125.15,6.76,78.8,1.03
391,Hambantota,80.4,90.0,LK,11/09/2019,79.0,81.12,6.12,80.4,6.73
392,Quetzaltenango,77.45,40.0,GT,11/09/2019,62.0,-91.52,14.83,89.6,6.93
393,Ayan,31.06,0.0,IR,11/09/2019,27.0,44.7,38.23,31.06,1.7
394,Botwood,29.03,40.0,CA,11/09/2019,68.0,-55.34,49.14,30.2,19.46
395,Trinidad,80.6,75.0,BO,11/09/2019,83.0,-64.9,-14.83,80.6,4.7
396,Wagar,49.8,0.0,US,11/09/2019,66.0,-87.99,31.44,49.8,3.89
397,Linxi,59.0,27.0,CN,11/09/2019,93.0,116.7,23.65,59.0,1.52
398,Waddan,65.44,97.0,LY,11/09/2019,56.0,16.14,29.16,65.44,11.25
399,Vestmannaeyjar,44.42,87.0,IS,11/09/2019,82.0,-20.27,63.44,44.42,16.6
400,Trairi,75.45,8.0,BR,11/09/2019,83.0,-39.27,-3.28,75.45,5.39
401,Thinadhoo,81.55,81.0,MV,11/09/2019,77.0,72.93,0.53,81.55,8.34
402,Taraz,33.3,99.0,KZ,11/09/2019,86.0,71.39,42.89,33.8,6.71
403,Alofi,82.4,6.0,NU,11/09/2019,65.0,-169.92,-19.06,82.4,16.11
404,San Patricio,77.67,98.0,PY,11/09/2019,83.0,-56.83,-26.98,77.67,6.78
405,Nhulunbuy,84.2,40.0,AU,11/09/2019,74.0,136.78,-12.18,84.2,5.82
406,Vanavara,-6.18,100.0,RU,11/09/2019,89.0,102.28,60.35,-6.18,10.8
407,Nayoro,30.51,75.0,JP,11/09/2019,79.0,142.46,44.36,30.51,12.95
408,Ndola,75.07,91.0,ZM,11/09/2019,45.0,28.64,-12.97,75.07,11.72
409,Suraabad,48.2,0.0,AZ,11/09/2019,100.0,49.47,40.82,48.2,3.36
410,Zhuhai,26.6,20.0,CN,11/09/2019,92.0,112.04,40.71,26.6,4.47
411,Bell Ville,73.0,63.0,AR,11/09/2019,73.0,-62.69,-32.63,73.0,1.01
412,Carauari,75.22,97.0,BR,11/09/2019,95.0,-66.9,-4.88,75.22,2.24
413,Tomatlan,79.88,29.0,MX,11/09/2019,83.0,-105.25,19.93,79.88,2.82
414,Aksarka,-5.03,82.0,RU,11/09/2019,99.0,67.8,66.56,-5.03,0.87
415,Agapovka,6.8,0.0,RU,11/09/2019,92.0,59.13,53.3,6.8,4.47
416,Chimoio,71.6,75.0,MZ,11/09/2019,94.0,33.48,-19.11,71.6,5.1
417,Farmington,61.48,1.0,US,11/09/2019,13.0,-108.21,36.73,62.6,9.17
418,Necochea,50.0,3.0,AR,11/09/2019,76.0,-58.74,-38.55,50.0,4.0
419,Tahoua,82.42,17.0,NE,11/09/2019,14.0,5.26,14.89,82.42,6.2
420,Esmeralda,82.4,0.0,CL,11/09/2019,38.0,-70.9,-34.33,82.4,8.05
421,Youkounkoun,80.17,2.0,GN,11/09/2019,50.0,-13.12,12.53,80.17,3.2
422,Portland,30.34,20.0,US,11/09/2019,47.0,-70.25,43.66,36.0,4.7
423,Aswan,75.2,0.0,EG,11/09/2019,33.0,32.9,24.09,75.2,1149.56
424,Maniitsoq,35.38,57.0,GL,11/09/2019,47.0,-52.9,65.42,35.38,25.52
425,Rawson,50.7,15.0,AR,11/09/2019,80.0,-65.11,-43.3,50.7,20.8
426,Kinna,37.18,90.0,SE,11/09/2019,93.0,12.69,57.51,39.0,10.29
427,Zenzeli,47.71,0.0,RU,11/09/2019,71.0,47.05,45.92,47.71,11.83
428,Bay Roberts,34.07,75.0,CA,11/09/2019,59.0,-53.28,47.58,36.0,27.51
429,Creel,60.64,100.0,MX,11/09/2019,60.0,-107.63,27.75,60.64,6.06
430,Flinders,68.74,90.0,AU,11/09/2019,34.0,150.85,-34.58,71.01,9.17
431,Birin,49.87,99.0,NP,11/09/2019,89.0,88.07,26.89,49.87,1.01
432,Mgandu,61.97,3.0,TZ,11/09/2019,87.0,34.11,-5.96,61.97,7.05
433,Sens,41.77,99.0,FR,11/09/2019,87.0,3.28,48.2,42.8,6.93
434,Gasa,24.31,100.0,BT,11/09/2019,81.0,89.73,27.91,24.31,2.19
435,Constitucion,75.49,75.0,MX,11/09/2019,25.0,-104.67,23.99,77.0,4.7
436,Ola,17.8,100.0,RU,11/09/2019,80.0,151.3,59.58,17.8,15.46
437,North Bend,54.09,1.0,US,11/09/2019,81.0,-124.22,43.41,55.99,5.82
438,Zempoala,51.42,90.0,MX,11/09/2019,97.0,-98.0,20.09,51.42,2.62
439,Filadelfia,88.61,86.0,PY,11/09/2019,44.0,-60.04,-22.35,88.61,7.96
440,Natal,78.12,20.0,BR,11/09/2019,78.0,-35.21,-5.81,78.8,8.05
441,Cleethorpes,40.75,98.0,GB,11/09/2019,81.0,-0.03,53.56,44.6,10.29
442,Evensk,23.99,100.0,RU,11/09/2019,84.0,159.24,61.92,23.99,32.79
443,Segou,80.35,16.0,SN,11/09/2019,51.0,-12.29,12.41,80.35,2.21
444,Kahului,81.72,40.0,US,11/09/2019,55.0,-156.47,20.89,86.0,11.41
445,Murakami,52.68,40.0,JP,11/09/2019,54.0,139.58,38.29,53.6,6.93
446,Guiratinga,75.92,56.0,BR,11/09/2019,73.0,-53.76,-16.35,75.92,2.71
447,Alugan,81.48,1.0,PH,11/09/2019,73.0,125.48,12.22,81.48,5.17
448,Tambun,76.37,34.0,ID,11/09/2019,78.0,107.07,-6.26,78.01,5.82
449,Barcelos,78.53,88.0,BR,11/09/2019,82.0,-62.93,-0.97,78.53,2.06
450,Mweka,72.93,100.0,CD,11/09/2019,88.0,21.56,-4.85,72.93,0.85
451,Mount Gambier,51.8,40.0,AU,11/09/2019,87.0,140.78,-37.83,51.8,10.29
452,Lensk,13.28,100.0,RU,11/09/2019,93.0,114.91,60.71,13.28,10.18
453,Codrington,70.3,90.0,AU,11/09/2019,34.0,153.24,-28.95,71.6,8.05
454,Mount Isa,78.8,40.0,AU,11/09/2019,11.0,139.49,-20.73,78.8,14.99
455,Beloha,70.32,81.0,MG,11/09/2019,83.0,45.06,-25.17,70.32,9.33
456,Rapid Valley,55.06,1.0,US,11/09/2019,30.0,-103.15,44.06,59.0,8.05
457,Palembang,80.2,3.0,ID,11/09/2019,64.0,104.76,-2.99,80.2,2.08
458,Muros,50.23,40.0,ES,11/09/2019,93.0,-9.06,42.77,54.0,4.7
459,Ravar,49.96,54.0,IR,11/09/2019,21.0,56.81,31.27,49.96,7.2
460,Old Bridge,35.13,1.0,US,11/09/2019,41.0,-74.3,40.41,42.01,9.13
461,Tsumeb,70.88,98.0,NA,11/09/2019,58.0,17.72,-19.25,70.88,6.49
462,Sierra Vista,73.15,1.0,US,11/09/2019,38.0,-110.3,31.55,79.0,5.82
463,Mokhsogollokh,-1.86,100.0,RU,11/09/2019,89.0,128.95,61.4,-1.86,4.16
464,Turukhansk,-18.33,100.0,RU,11/09/2019,99.0,87.96,65.8,-18.33,4.03
465,Yarada,73.4,75.0,IN,11/09/2019,88.0,83.27,17.65,73.4,2.24
466,Katsuura,53.85,40.0,JP,11/09/2019,62.0,134.5,33.93,57.2,12.75
467,Phuket,75.02,20.0,TH,11/09/2019,88.0,98.4,7.89,77.0,1.12
468,Kieta,80.98,100.0,PG,11/09/2019,73.0,155.63,-6.22,80.98,1.81
469,Matara,58.82,52.0,BI,11/09/2019,87.0,29.48,-3.48,58.82,4.5
470,Inhambane,74.08,93.0,MZ,11/09/2019,80.0,35.38,-23.87,74.08,11.72
471,Nelson Bay,71.11,0.0,AU,11/09/2019,28.0,152.14,-32.72,72.0,12.75
472,Mildura,59.65,40.0,AU,11/09/2019,51.0,142.16,-34.18,60.01,11.41
473,Baringo,71.04,42.0,KE,11/09/2019,67.0,35.97,0.47,71.04,1.72
474,Luganville,84.2,40.0,VU,11/09/2019,66.0,167.18,-15.51,84.2,5.82
475,Salvador,80.6,20.0,BR,11/09/2019,78.0,-38.48,-12.98,80.6,17.22
476,Grindavik,40.14,75.0,IS,11/09/2019,86.0,-22.43,63.84,41.0,3.36
477,Darnah,71.83,0.0,LY,11/09/2019,71.0,22.64,32.77,71.83,16.98
478,Melchor de Mencos,84.49,20.0,GT,11/09/2019,62.0,-89.15,17.06,86.0,6.93
479,Young,75.0,50.0,UY,11/09/2019,66.0,-57.63,-32.7,75.0,4.0
480,Luanda,80.6,75.0,AO,11/09/2019,83.0,13.24,-8.83,80.6,5.82
481,Griffith,59.9,40.0,AU,11/09/2019,51.0,146.06,-34.29,60.8,13.87
482,Dawei,76.95,81.0,MM,11/09/2019,69.0,98.19,14.07,76.95,8.84
483,Machilipatnam,69.1,0.0,IN,11/09/2019,84.0,81.14,16.18,69.1,4.16
484,Puerto Leguizamo,74.55,67.0,CO,11/09/2019,93.0,-74.78,-0.19,74.55,2.28
485,Manturovo,28.53,100.0,RU,11/09/2019,56.0,44.76,58.33,28.53,7.52
486,Jever,41.45,86.0,DE,11/09/2019,87.0,7.9,53.57,44.01,8.05
487,Itapora,73.18,100.0,BR,11/09/2019,86.0,-54.79,-22.08,73.18,4.9
488,Maceio,75.2,17.0,BR,11/09/2019,83.0,-35.74,-9.67,75.2,8.05
489,Briceno,58.93,100.0,CO,11/09/2019,97.0,-75.55,7.11,58.93,0.58
490,Makaha,82.87,1.0,US,11/09/2019,48.0,-158.22,21.47,86.0,5.82
491,Fallon,38.3,90.0,US,11/09/2019,86.0,-105.12,46.84,39.0,19.46
492,Serowe,67.55,92.0,BW,11/09/2019,79.0,26.7,-22.4,67.55,13.49
493,Timra,22.5,90.0,SE,11/09/2019,73.0,17.33,62.49,23.0,13.87
494,Benghazi,74.1,80.0,LY,11/09/2019,41.0,20.07,32.12,74.1,16.96
495,Puerto Quijarro,86.0,75.0,BO,11/09/2019,74.0,-57.72,-19.0,86.0,6.93
496,Maragogi,79.23,96.0,BR,11/09/2019,79.0,-35.22,-9.01,79.23,14.41
497,San Mateo Ixtatan,57.99,0.0,GT,11/09/2019,96.0,-91.48,15.83,57.99,4.99
498,Port Hedland,78.8,22.0,AU,11/09/2019,31.0,118.58,-20.31,78.8,6.93
499,Podlesnyy,41.32,83.0,RU,11/09/2019,86.0,38.27,53.94,41.32,9.51
500,Adeje,77.88,99.0,NG,11/09/2019,91.0,5.76,5.68,77.88,1.97
501,Chamba,50.5,0.0,IN,11/09/2019,26.0,76.12,32.56,50.5,10.04
502,Umm Lajj,78.3,0.0,SA,11/09/2019,47.0,37.27,25.02,78.3,8.19
503,Knysna,59.0,81.0,ZA,11/09/2019,82.0,23.05,-34.04,59.0,6.93
504,Veraval,41.0,100.0,FR,11/09/2019,100.0,0.71,49.65,42.01,3.36
505,Iqaluit,5.0,75.0,CA,11/09/2019,77.0,-68.52,63.75,5.0,16.11
506,Mitsamiouli,79.25,100.0,KM,11/09/2019,81.0,43.28,-11.38,79.25,6.13
507,Touros,77.0,20.0,BR,11/09/2019,78.0,-35.46,-5.2,77.0,8.05
508,Tynda,3.25,100.0,RU,11/09/2019,95.0,124.74,55.15,3.25,2.37
509,Taoudenni,68.74,11.0,ML,11/09/2019,21.0,-3.98,22.68,68.74,9.15
510,Boma,72.03,16.0,GH,11/09/2019,87.0,-2.17,7.08,72.03,0.16
511,Alexander City,49.73,1.0,US,11/09/2019,87.0,-85.95,32.94,53.6,1.5
512,Shizuishan,39.99,0.0,CN,11/09/2019,25.0,106.36,39.02,39.99,1.01
513,Mitu,38.53,0.0,IR,11/09/2019,40.0,46.09,36.2,38.53,7.83
514,Guerrero Negro,74.71,100.0,MX,11/09/2019,51.0,-114.04,27.97,74.71,12.1
515,Coruripe,77.97,3.0,BR,11/09/2019,78.0,-36.18,-10.12,77.97,13.58
516,Kabalo,69.87,42.0,CD,11/09/2019,92.0,26.92,-6.05,69.87,1.43
517,Yangambi,70.97,68.0,CD,11/09/2019,91.0,24.47,0.77,70.97,0.74
518,Belfast,37.69,96.0,GB,11/09/2019,86.0,-5.93,54.6,39.99,3.36
519,Savonlinna,35.24,90.0,FI,11/09/2019,100.0,28.88,61.87,35.6,4.9
520,Namatanai,80.76,100.0,PG,11/09/2019,75.0,152.44,-3.66,80.76,2.44
521,Sinnamary,81.82,34.0,GF,11/09/2019,84.0,-52.96,5.38,81.82,11.61
522,Chicama,64.4,40.0,PE,11/09/2019,82.0,-79.15,-7.84,64.4,10.29
523,Wuchang,39.61,100.0,CN,11/09/2019,54.0,127.16,44.93,39.61,8.08
524,Tautira,82.18,75.0,PF,11/09/2019,69.0,-149.15,-17.73,82.4,10.29
525,Saint-Pierre,36.21,90.0,FR,11/09/2019,93.0,4.24,48.95,39.99,11.41
526,Ostrogozhsk,42.48,69.0,RU,11/09/2019,90.0,39.08,50.86,42.48,8.19
527,Warrington,38.91,75.0,GB,11/09/2019,93.0,-2.59,53.39,41.0,14.99
528,Caravelas,70.54,29.0,BR,11/09/2019,92.0,-39.27,-17.73,70.54,7.02
529,Bereda,47.77,20.0,ES,11/09/2019,71.0,-7.54,43.27,54.0,10.29
530,Kaoma,77.18,97.0,ZM,11/09/2019,36.0,24.8,-14.8,77.18,7.9
531,Kathmandu,53.6,20.0,NP,11/09/2019,100.0,85.32,27.71,53.6,2.73
532,Dire Dawa,58.89,6.0,ET,11/09/2019,79.0,41.86,9.59,58.89,5.66
533,Torrox,53.6,20.0,ES,11/09/2019,54.0,-3.95,36.76,61.0,8.05
534,Anadyr,24.37,75.0,RU,11/09/2019,85.0,177.51,64.73,24.8,6.71
535,Svetlogorsk,6.8,0.0,RU,11/09/2019,92.0,59.15,53.14,6.8,4.47
536,Axim,77.2,15.0,GH,11/09/2019,87.0,-2.24,4.87,77.2,2.95
537,Ormara,78.48,14.0,PK,11/09/2019,48.0,64.64,25.21,78.48,7.07
538,Sainte-Marie,29.82,90.0,CA,11/09/2019,68.0,-71.03,46.45,30.99,4.7
539,Nabire,83.46,100.0,ID,11/09/2019,63.0,135.5,-3.36,83.46,1.32
540,Shima,59.0,20.0,JP,11/09/2019,58.0,136.82,34.34,59.0,16.11
541,Kroya,83.43,40.0,ID,11/09/2019,51.0,108.06,-6.5,83.43,5.21
542,Samokov,48.2,75.0,MK,11/09/2019,93.0,21.15,41.68,48.2,1.41
543,Bongandanga,70.16,33.0,CD,11/09/2019,98.0,21.07,1.51,70.16,0.96
544,Bandarbeyla,79.02,0.0,SO,11/09/2019,73.0,50.81,9.49,79.02,14.85
545,Semey,33.73,100.0,KZ,11/09/2019,96.0,80.25,50.41,33.73,7.23
546,Sesheke,81.03,89.0,NA,11/09/2019,37.0,24.29,-17.47,81.03,6.11
547,Comarapa,63.23,48.0,BO,11/09/2019,84.0,-64.53,-17.91,63.23,2.93
548,Itarema,78.84,56.0,BR,11/09/2019,76.0,-39.92,-2.92,78.84,12.26
549,Ust-Tsilma,7.12,51.0,RU,11/09/2019,94.0,52.15,65.44,7.12,3.74
550,Kenai,39.18,1.0,US,11/09/2019,52.0,-151.26,60.55,41.0,3.36
551,Sangar,-4.11,100.0,RU,11/09/2019,78.0,127.47,63.92,-4.11,10.07
552,Carutapera,81.95,100.0,BR,11/09/2019,78.0,-46.02,-1.2,81.95,13.56
553,Lumphat,67.89,99.0,KH,11/09/2019,88.0,106.97,13.5,67.89,0.76
554,Tucurui,79.47,99.0,BR,11/09/2019,83.0,-49.67,-3.77,79.47,3.22
555,Igarka,-14.63,98.0,RU,11/09/2019,96.0,86.57,67.47,-14.63,10.63
556,Termoli,50.52,100.0,IT,11/09/2019,81.0,14.99,42.0,51.01,1.01
557,Yar-Sale,-8.31,0.0,RU,11/09/2019,98.0,70.83,66.83,-8.31,5.88
558,Meadow Lake,10.4,40.0,CA,11/09/2019,66.0,-108.44,54.13,10.4,8.05
559,Dryden,23.0,90.0,CA,11/09/2019,85.0,-92.84,49.79,23.0,4.7
560,Ixcatepec,63.64,100.0,MX,11/09/2019,88.0,-98.0,21.24,63.64,4.09
561,Berlevag,31.55,100.0,NO,11/09/2019,73.0,29.09,70.86,31.55,8.21
562,Kachug,15.17,96.0,RU,11/09/2019,76.0,105.89,53.96,15.17,8.77
563,Vermillion,52.38,1.0,US,11/09/2019,65.0,-96.93,42.78,55.99,4.18
564,Sena Madureira,76.39,100.0,BR,11/09/2019,87.0,-68.66,-9.07,76.39,2.93
565,Catanzaro,57.27,40.0,IT,11/09/2019,77.0,16.6,38.91,59.0,9.17
566,Pudozh,34.32,100.0,RU,11/09/2019,99.0,36.54,61.81,34.32,4.72
567,Japura,76.78,56.0,ID,11/09/2019,93.0,102.29,-0.42,76.78,0.89
568,Vila Velha,82.24,80.0,BR,11/09/2019,74.0,-38.6,-3.71,86.0,10.29
569,Surt,66.99,42.0,LY,11/09/2019,66.0,16.59,31.21,66.99,15.93
570,Seoul,37.94,75.0,KR,11/09/2019,81.0,126.98,37.57,44.6,5.82
